ID,Severity,Title,Area,Evidence,Impact,Recommended Fix,Estimated Effort,Owner Priority
F01,Critical,CxWorkflowView does not persist commissioning work,Frontend/Backend split,"src/components/CxWorkflowView.tsx header: ""Zero API calls. Pure client-side commissioning engine.""",Commissioning manager's Scope/Matrix/Packs/Execute/Deficiencies/Turnover work is lost on browser-clear and invisible to the team,"Route each CxWorkflow collection through /api/v1/commissioning/*; define missing endpoints for matrix/executions/deficiencies/turnover",L,Now
F02,Critical,Test suite: 1037 failing / 4791 passing,Testing,"Reproduced: npm test -- --run → Test Files 49 failed | 123 passed (172); Tests 1037 failed | 4791 passed (5828)",CHANGELOG 'green tests' claim is false; no regression signal currently exists,"Fix React hooks null-useMemo setup path in vitest config; triage failures; make npm run ci blocking in CI",L,Now
F03,Critical,No CI workflow,CI/CD,".github/workflows/ contains only render-deploy.yml; README badge points to ci.yml which does not exist",PRs merge without lint/type/test/build gate; deploy fires on every push to main,Add .github/workflows/ci.yml running npm run ci + lint + npm audit --audit-level=high; require passing for merge,S,Now
F04,Critical,packWorker _failJob duplicate status column in UPDATE,Backend reliability,"api/services/packWorker.ts:256-271 — SET status=$1, error_text=$2, status=$3, ...",PostgreSQL rejects the UPDATE; failures are swallowed by outer catch; jobs stuck in 'running' until timeout reclaim; never marked 'failed',Remove duplicate status clause; write a test that exercises 3+ failures and asserts terminal status='failed',S,Now
F05,High,No systems/subsystems/tag-equipment register tables,Data model,"Review of api/db/migrations/001-025*.sql finds no such tables",Pack generation keys off a system_type varchar + synthetic asset — no tag-by-tag coverage matrix or traceability,"Add systems, subsystems, equipment_tags tables with tenant/project FKs; link commissioning_packs.equipment_tag_id; add seed data",L,Now
F06,High,No backend turnover/dossier persistence,Data model,"CxTurnoverItem is a client-side TypeScript type in src/modules/commissioning/rules.ts; no turnover_packages or dossiers table in DB",Project handover deliverable cannot be produced or audited from the DB,Add turnover_packages + dossier_items tables; wire CxWorkflowView Turnover tab to them,M,Next
F07,High,ESLint fails with 157 parsing errors,Code quality,"Reproduced via npm run lint — 'Parsing error: Unexpected token interface' on every .ts file",Lint claim in README is false; noUnused and consistent-style rules are unenforced,Wire @typescript-eslint/parser + parserOptions.project into eslint.config.js; add lint to CI,S,Now
F08,High,7 high-severity npm vulnerabilities,Dependencies,"npm audit reports undici HTTP smuggling/CRLF/WebSocket overflow (6 advisories) + picomatch ReDoS (2 advisories) + 2 moderate",Untrusted upstream responses could crash server; ReDoS via crafted glob patterns,npm audit fix; pin transitives if non-breaking; re-run CI,S,Now
F09,High,Monolith-size ratchet at 6530 for a 1127-line file,Code health,"scripts/check-monolith-size.js MAX_LINES=6_530; actual JarvisCore.jsx = 1127 lines",Extraction progress invisible to CI; any regression up to 5400 lines would pass,Lower ratchet to 1150 (current + small buffer); add to CI,S,Now
F10,High,RAG citations self-reported by the model (not validated),AI safety,"api/services/askBuilder.ts:232-237 — structured = toolUse.input as StructuredAnswer with no post-validation",A misbehaving model could fabricate a chunk_id that didn't appear in retrieved_chunks; UI shows false citation,Validate every citations[].chunk_id appears in retrieved_chunks; drop or flag unverified citations,S,Next
F11,Medium,DB SSL uses rejectUnauthorized:false,Security,"api/db/pool.ts:32,40",MITM risk for cloud-hosted DB traffic,Set rejectUnauthorized:true when DB_SSL=true; ship CA bundle or use system store,S,Next
F12,Medium,Every tenantQuery wraps SELECT in BEGIN/COMMIT,Performance,api/db/pool.ts:104-127,Per-request transaction overhead caps real throughput,"Use SET LOCAL on the same connection without explicit BEGIN for read-only paths; or use server-side session variables",M,Next
F13,Medium,Only global rate limits (no per-tenant),Security,api/server.ts:156-162,Noisy-neighbor risk — one tenant can exhaust AI limit for all tenants,Key rate limiter by tenantId (or tenant+IP); adjust aiLimiter to per-tenant,S,Next
F14,Medium,File download uses synchronous fs calls,Performance,"api/routes/files.ts:241-255 uses fs.existsSync / readFileSync per request",Event-loop blocking under concurrent downloads,Replace with fs.promises.access + streaming read,S,Next
